...1,iati_identifier,reporting_org_text,reporting_org_ref,reporting_org_type,value_USD,transaction_date,transaction_type_code,transaction_type,provider_text,provider_ref,provider_type,receiver_text,receiver_ref,receiver_type,finance_type,covid_relevant,humanitarian,covid_matches,sector,country_region,value_USD_proportionate,id
14023,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,215412.3314937121,2020-06-01,1,Incoming Funds,Ole Kirk Foundation,Ole Kirk Foundation,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",73010,289,12924.73988962273,14023
14024,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,215412.3314937121,2020-06-01,1,Incoming Funds,Ole Kirk Foundation,Ole Kirk Foundation,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",15160,289,78086.97016647064,14024
14025,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,301577.2490123345,2020-06-01,1,Incoming Funds,Denmark - Ministry of Foreign Affairs,XM-DAC-3-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",72010,289,61823.33604752857,14025
14026,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,301577.2490123345,2020-06-01,1,Incoming Funds,Denmark - Ministry of Foreign Affairs,XM-DAC-3-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",72050,289,31665.61114629512,14026
14027,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,301577.2490123345,2020-06-01,1,Incoming Funds,Denmark - Ministry of Foreign Affairs,XM-DAC-3-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",15220,289,80671.91411079948,14027
14028,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,301577.2490123345,2020-06-01,1,Incoming Funds,Denmark - Ministry of Foreign Affairs,XM-DAC-3-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",73010,289,18094.63494074007,14028
14029,DK-CVR-20699310-DRCRO01-19,Danish Refugee Council,DK-CVR-20699310,21,301577.2490123345,2020-06-01,1,Incoming Funds,Denmark - Ministry of Foreign Affairs,XM-DAC-3-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",15160,289,109321.7527669713,14029
14070,DK-CVR-20699310-DRCRO02-19,Danish Refugee Council,DK-CVR-20699310,21,146295.1234958835,2020-06-01,1,Incoming Funds,Denmark - Ministry of Foreign Affairs,XM-DAC-3-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",72010,589,110452.818239392,14070
14071,DK-CVR-20699310-DRCRO02-19,Danish Refugee Council,DK-CVR-20699310,21,146295.1234958835,2020-06-01,1,Incoming Funds,Denmark - Ministry of Foreign Affairs,XM-DAC-3-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",73010,589,4023.115896136795,14071
14072,DK-CVR-20699310-DRCRO02-19,Danish Refugee Council,DK-CVR-20699310,21,146295.1234958835,2020-06-01,1,Incoming Funds,Denmark - Ministry of Foreign Affairs,XM-DAC-3-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('title', 'description', 'GLIDE', 'HRP', 'transaction-description')",15160,589,31819.18936035465,14072
